-0.0262335,-0.109727,0,0,-0.935391,0.353615
-0.126084,-0.156428,0,0,-0.975266,0.221036
-0.234284,-0.190952,0,0,-0.993398,0.114715
-0.342179,-0.205296,0,0,-0.998918,0.0465047
-0.452377,-0.213063,0,0,-0.999929,0.0119177
-0.562651,-0.216419,0,0,-0.999992,-0.00388149
-0.672758,-0.212622,0,0,0.999847,0.0175154
-0.802663,-0.202273,0,0,0.999737,0.0229151
-0.91416,-0.199083,0,0,0.99975,0.0223707
-1.0323,-0.198462,0,0,0.999806,0.0196916
-1.14232,-0.197045,0,0,0.99963,0.027209
-1.25264,-0.19785,0,0,0.999541,0.0302804
-1.35899,-0.195293,0,0,0.99947,0.0325626
-1.46809,-0.188741,0,0,0.999362,0.0357277
-1.57848,-0.18086,0,0,0.999276,0.0380431
-1.69039,-0.170144,0,0,0.999284,0.0378222
-1.82576,-0.164998,0,0,0.999217,0.0395531
-1.94122,-0.154751,0,0,0.999032,0.0440007
-2.05062,-0.142978,0,0,0.998807,0.0488283
-2.16054,-0.128677,0,0,0.998822,0.0485271
-2.26714,-0.117731,0,0,0.998818,0.0486105
-2.3738,-0.112244,0,0,0.998816,0.0486483
-2.49091,-0.104463,0,0,0.998667,0.0516146
-2.59603,-0.0972073,0,0,0.998689,0.051192
-2.69597,-0.0899716,0,0,0.99772,0.0674857
-2.79806,-0.0814925,0,0,0.997683,0.0680317
-2.89768,-0.0661434,0,0,-0.673581,0.739114
